HINCP	NATIVITY	RAC1P	SEX	HISP	OCCP12
547000	1	1	1	1	3060
400200	1	1	1	1	3060
284400	1	2	1	1	3060
81100	1	1	1	1	3060
450800	1	1	1	1	3060
38000	1	1	1	1	3060
383600	1	1	1	1	3060
411000	1	1	1	1	3060
583800	1	1	1	1	3060
235000	1	1	2	1	3060
440000	1	1	1	1	3060
440000	1	1	2	1	3060
205000	1	1	1	1	3060
289000	1	1	1	1	3060
78000	1	1	1	1	3060
80000	1	1	2	1	3060
286000	1	1	1	1	3060
635000	1	1	1	1	3060
662000	1	1	2	1	3060
662000	1	1	1	1	3060
408000	1	6	1	1	3060
100000	1	1	1	1	3060
50000	1	6	2	1	3060
760000	1	1	2	1	3060
270000	2	6	1	1	3060
199150	1	1	1	1	3060
499000	1	1	2	1	3060
115000	1	1	1	1	3060
439050	1	1	1	1	3060
417000	2	1	1	1	3060
193000	1	1	1	1	3060
137000	1	1	1	1	3060
375400	1	1	1	1	3060
379000	1	1	1	1	3060
160000	1	6	2	1	3060
589400	2	6	1	1	3060
589400	2	6	2	1	3060
392500	1	1	1	1	3060
198000	1	1	1	1	3060
198000	1	1	2	2	3060
385000	2	1	2	1	3060
50000	1	1	1	1	3060
414000	2	6	1	1	3060
126200	1	1	1	1	3060
380000	1	1	1	1	3060
218400	1	6	1	1	3060
421000	2	1	2	1	3060
375000	1	6	2	1	3060
329000	1	1	1	1	3060
321340	1	1	1	1	3060
381300	1	1	1	1	3060
199900	1	1	2	1	3060
373000	1	1	2	1	3060
270000	2	6	2	1	3060
101000	1	1	1	1	3060
47000	1	1	1	1	3060
108000	2	6	1	1	3060
145804	1	1	1	1	3060
548900	1	1	1	1	3060
210000	1	6	1	1	3060
79000	1	1	1	1	3060
373000	1	1	1	1	3060
251400	2	8	1	10	3060
132510	1	1	1	1	3060
350400	1	1	1	1	3060
137400	1	1	1	1	3060
324000	2	1	2	2	3060
370000	2	6	2	1	3060
295000	1	1	1	1	3060
221000	1	1	1	1	3060
715004	2	6	1	1	3060
180200	2	1	1	11	3060
117670	2	8	1	1	3060
457400	1	2	1	1	3060
371100	2	6	1	1	3060
80000	1	1	1	1	3060
73000	1	1	1	1	3060
501400	2	1	1	1	3060
501400	2	1	2	1	3060
306200	2	6	1	1	3060
262000	1	1	1	1	3060
280000	2	1	2	1	3060
232000	1	1	2	2	3060
281860	1	1	1	1	3060
412020	1	1	1	1	3060
584300	1	1	1	1	3060
584300	1	1	2	1	3060
63500	2	1	1	1	3060
538800	1	1	1	1	3060
127200	1	9	2	1	3060
415000	2	6	1	1	3060
183000	1	1	2	1	3060
41000	1	1	2	2	3060
300000	1	1	2	1	3060
0	1	1	1	1	3060
275400	1	1	1	1	3060
30000	2	1	1	1	3060
214000	1	1	1	1	3060
195200	2	6	1	1	3060
195200	2	6	2	1	3060
283000	1	1	1	1	3060
229000	1	1	1	1	3060
371000	1	1	2	1	3060
120300	1	1	1	1	3060
375000	2	6	1	1	3060
476900	1	1	1	1	3060
476900	2	1	2	16	3060
147900	2	1	1	11	3060
123100	1	1	1	1	3060
100000	1	1	2	1	3060
325000	1	1	1	1	3060
245000	1	1	1	1	3060
418000	1	1	1	1	3060
600000	1	1	1	1	3060
58000	2	1	1	1	3060
177000	2	1	1	1	3060
53000	1	1	1	1	3060
0	1	1	1	1	3060
56000	1	2	2	1	3060
60400	1	1	1	1	3060
362000	2	1	1	1	3060
252000	1	1	1	10	3060
515400	1	1	1	1	3060
371030	1	1	1	1	3060
212400	1	1	1	1	3060
423000	1	2	2	1	3060
200400	2	6	1	1	3060
328000	1	1	1	1	3060
225000	1	1	1	1	3060
140000	1	1	1	1	3060
333000	1	1	1	1	3060
168900	2	8	1	16	3060
481000	2	1	1	1	3060
481000	2	1	2	1	3060
244200	2	6	1	1	3060
152000	2	1	1	1	3060
196000	1	1	1	1	3060
389000	1	1	2	1	3060
353400	1	1	1	1	3060
85000	2	1	1	1	3060
484000	1	6	1	1	3060
484000	2	6	2	1	3060
61500	1	1	1	1	3060
316000	1	1	1	1	3060
911020	1	1	1	1	3060
96000	2	6	1	1	3060
96000	2	6	2	1	3060
443000	1	1	1	1	3060
410700	1	1	1	1	3060
210000	2	6	2	1	3060
159000	2	1	1	1	3060
443000	1	1	1	1	3060
538400	1	1	1	1	3060
433500	1	1	1	1	3060
345000	1	1	2	1	3060
116000	1	6	2	1	3060
305100	1	1	1	1	3060
537000	1	1	1	1	3060
